,followers_count,text,location,description,statuses_count,screen_name,following,favourites_count,friends_count,created_at,retweet_count,listed_count,user_id,verified,tweet_id
2634,131,"Taking bad thing as joke, comedian said Dengue with WiFi =  #ZikaVirus. Outbreak caused by release of GM mosquitoes? https://t.co/LnSIj8XzUW","Kingston, Jamaica W.I.","#SocialJustice activist, liberal pragmatist, mom, grant writer aiming 4 balance, single standard guiding living, empowered, privileged & radiating gratefulness.",1516,nicolewesth,88,315,88,Fri Dec 17 01:43:17 +0000 2010,0,9,227519373,False,694206572772331522
2635,105,"RT @frontlinepbs: .@WHO warns that the Zika virus is ""spreading explosively."" Where did it come from? 

MAP: https://t.co/UN4Rs7ophY https:…",California,#Medical #Interpreting is a skill that helps #bridge the #language and #cultural #gap. I make a difference in a #patient's #clinical #encounter!,609,smurphy2001,237,311,237,Wed Sep 29 22:06:23 +0000 2010,12,2,196778434,False,694206564933054464
2636,1173,Contracting Zika in Hudson Valley Unlikely: Infectious Disease Specialist https://t.co/xqnzcUdQqm,"Pearl River, New York",Pearl River Patch is your source for local news.,9525,PearlRiverPatch,316,1,316,Wed Jun 23 20:57:45 +0000 2010,0,24,158855363,False,694206562294890497
2637,22,"RT @VIralBuzzNewss: As Zika virus spreads, Tata will get prepared for the India start of its hatchback Zic... -  https://t.co/P1lfSlOROv",Boston,I really have got great goals. I launch businesses. Consistently have a positive mindset. Social marketing strategist,7842,THilderley,76,1497,76,Thu Jan 07 17:12:45 +0000 2016,774,1,4736414489,False,694206561942528000
2638,1596,Contracting Zika in Hudson Valley Unlikely: Infectious Disease Specialist https://t.co/O0OOGZHD7E,"New City, NY",New City Patch is your source for local news.,12248,NewCityPatch,51,7,51,Tue Apr 06 18:05:54 +0000 2010,0,54,130226736,False,694206559279149056
2639,2119,Contracting Zika in Hudson Valley Unlikely: Infectious Disease Specialist https://t.co/dEyCy0w5bu,"Chappaqua-Mount Kisco, NY",ChapKisco Patch is your source for local news.,12522,ChapKiscoPatch,642,2,642,Thu Dec 03 22:52:00 +0000 2009,0,65,94434053,False,694206546637643776
2640,1568,Contracting Zika in Hudson Valley Unlikely: Infectious Disease Specialist https://t.co/pK2y8jzqCj,New York,Port Chester Patch is your source for local news.,6375,PChesterPatch,307,0,307,Tue Apr 06 18:08:44 +0000 2010,0,43,130227549,False,694206545878339584
2641,1309,RT @ClimateReality: Climate change is helping the spread of diseases like the Zika virus https://t.co/f8oCo6B9Kn #ActOnClimate https://t.co…,Minnesota,"We knit together the work of many Minnesotans in a powerful and unified call to #ActOnClimate—a call that is global, scientific, and specific.
RT ≠ Endorsement",4174,MN_350,978,454,978,Wed Sep 29 20:53:13 +0000 2010,12,93,196753919,False,694206545559711745
2642,3280,RT @bermaninstitute: Via @NPR: Zika Virus Isn't The First Disease To Spark A Debate About Abortion https://t.co/ZRxoytnBqs #Bioethics,New York City,"ER MD, Lenox Hill Hospital/Forbes/CBS News/Medscape EM Editor/Former NY Jets Sideline MD/DR 911(https://t.co/DdtPoE6r84) Co-Author, #TheFootballDecision @Amazon",14257,DrRobertGlatter,3696,9076,3696,Thu Apr 26 12:35:39 +0000 2012,3,340,563691118,False,694206544527884290
2643,1020,Contracting Zika in Hudson Valley Unlikely: Infectious Disease Specialist https://t.co/2UtC6hlCcN,"Pelham , NY",Pelham Patch is your source for local news.,5120,PelhamPatch,178,1,178,Wed Jun 23 20:59:17 +0000 2010,0,36,158855780,False,694206543089143809
2644,23,"WHO Holds Emergency Meeting On Zika; U.S. President Obama, Brazil President Rousseff Discuss Outbreak; U.S. Se... https://t.co/t5QQFsb5nY",London,,2264,ICHLibGH,20,0,20,Wed Sep 07 13:02:47 +0000 2011,0,0,369489075,False,694206535430373376
2645,2114,RT @BlBrTravel: Do not have a #Zika Freaka(out). Here's how to deal with Zika fears and still #travel. https://t.co/5XQ1ZtSWAz https://t.co…,"Barcelona, Spain","The authority on #Barcelona's best spots, both secret & not-so-secret. And we offer private #tours. Check out our  tours and services at http://t.co/dYtBEgZveR.",51471,bcn_exp,2007,2777,2007,Tue Aug 04 14:31:15 +0000 2009,1,610,62831986,False,694206531508793344
2646,98,RT @sciam: Update: More than 40 cases of #Zika virus have been confirmed in the U.S. See our exclusive map to find out where: https://t.co/…,,Science.,92,wyorgb,191,111,191,Sat Sep 14 20:30:43 +0000 2013,50,31,1864899704,False,694206530900594688
2647,3090,As the ZIKA virus continues to spread we are highlighting the most seriously affected areas https://t.co/TiEal02udO,UK,"Traveleads is one of the UK’s leading TMCs – with specialist teams working in corporate, oil & gas, sport, TV/film travel and exclusive leisure travel",1331,TraveleadsUK,2999,66,2999,Tue Jan 11 14:31:30 +0000 2011,1,33,236852854,False,694206527301926913
2648,2023,Contracting Zika in Hudson Valley Unlikely: Infectious Disease Specialist https://t.co/xIfwfWdfzT,"Bronxville, NY ",Bronxville Patch is your source for local news.,7905,BronxvillePatch,208,13,208,Tue Apr 13 15:58:42 +0000 2010,0,54,132568319,False,694206514551136256
2649,1190,Contracting Zika in Hudson Valley Unlikely: Infectious Disease Specialist https://t.co/QgNOS7MjxZ,"Harrison, NY",Harrison Patch is your source for local news.,4063,HarrisonPatch,535,11,535,Tue Dec 01 14:50:24 +0000 2009,0,36,93873338,False,694206514194620416
2650,2078,Contracting Zika in Hudson Valley Unlikely: Infectious Disease Specialist https://t.co/6lVUFtKZyp,"Hastings-on-Hudson, NY",Rivertowns Patch is your source for local news.,11328,RivertownsPatch,699,0,699,Sat May 08 11:45:29 +0000 2010,0,56,141558822,False,694206501867491328
2651,361,"As #ZikaVirus Spreads, UVA Infectious Diseases Expert Answers Key Questions https://t.co/c09s9W11D1","Charlottesville, VA",Where innovation takes flight! A state-of-the-art research park at the University of Virginia.,1090,UVAResearchPark,214,476,214,Mon Oct 14 17:24:45 +0000 2013,0,17,1961079986,False,694206501687279617
2652,705,RT @CNN: The threat of Zika didn't stop Brazilians from this weekend's pre-Carnival celebrations https://t.co/rMS2RXFZ3W https://t.co/Wgmpa…,,ugly but in fashion,207684,bjongrk,208,19628,208,Tue May 25 17:53:14 +0000 2010,152,15,148043239,False,694206494980608001
2653,521,RT @ClimateReality: Climate change is helping the spread of diseases like the Zika virus https://t.co/f8oCo6B9Kn #ActOnClimate https://t.co…,,".I am a student of engineering in systems , I like to read , watch movies and learn new things . I want to be happy and make many people happy.",2981,YarnitaRdz,821,29,821,Tue May 31 14:40:31 +0000 2011,12,74,308505917,False,694206488844238848
2654,876,Is Zika Virus an EPIDEMIC? WHO call summit amid fears of genetically-modified mosquitoes #Health https://t.co/Snni3H4djh,,Find your latest Health news with just one click. Don't miss out on anything happening!,49936,Health_UKnews,1026,0,1026,Mon May 06 15:03:14 +0000 2013,0,42,1407966865,False,694206488106143744
2655,1049,"Who are those Dr ordering a costly Zika test in non pregnant, non hospitalized and barely sick patients????","iPhone: 45.522156,-73.577805","The life of an emergency doctor in Montreal; foody, wine lover, also a tech nerd and video game affictionado. Mes gazouillis réflètent opinions personnelles.",16175,EmergencyBlog,344,1192,344,Fri Apr 03 14:13:50 +0000 2009,0,34,28570354,False,694206486256467968
2656,237,RT @CNN: The #Zika virus could complicate the launch of the Zica hatchback https://t.co/ZrNJpoBv0M via @CNNMoney https://t.co/brEpkmNFyr,All across the interwebs,"Have a bit of fun, show your position on a major topic, and cheese off your friends who don't agree! All for less than a dollar! How cool is that?",8167,HeadsOrHeadsWeb,512,21,512,Wed Nov 18 13:34:03 +0000 2015,45,8,4218318442,False,694206483416928257
2657,7266,"RT @cuepidemiology: Hold onto that #Olympics ticket: By August, #Zika may be under control in #Rio, says Dr. Morse @Columbia https://t.co/1…","New York, New York","@Columbia's Mailman School is at the forefront of local and global #publichealth research, education, and community collaboration.

#HealthIsAHumanRight",7476,ColumbiaMSPH,658,610,658,Wed Jan 20 20:56:30 +0000 2010,1,324,106832630,False,694206483077185537
2658,2183,RT @CNN: The #Zika virus could complicate the launch of the Zica hatchback https://t.co/ZrNJpoBv0M via @CNNMoney https://t.co/brEpkmNFyr,tranquility lane,sitting right down waiting for the gift of sound and vision.,183233,bonelam,200,3677,200,Wed Mar 23 23:42:09 +0000 2011,45,41,271153713,False,694206477410684929
2659,404,"Zika outbreak 'caused by release of genetically modified mosquitoes in Brazil'
https://t.co/FzZFSNallO",USA,The Daily Publius is a news aggregator for citizens. Our mission is to inform the public on important events that threaten the Republic. #wethepeople #opengov,8692,DailyPublius,1078,0,1078,Sun Sep 18 02:03:23 +0000 2011,0,6,375394307,False,694206470532042753
2660,654,"WHO holds emergency meeting to advise on response to Zika virus #GI5006
https://t.co/mLBTaknkti",London,"Associate Professor of IR, National Teaching Fellow & course leader for BA courses in Diplomacy and Peace & Conflict Studies @LondonMetUni. See also @Teach_IR",2557,BAinDiplomacy,542,196,542,Sat Sep 07 13:13:17 +0000 2013,0,26,1747147664,False,694206469353426948
2661,11,RT @CNN: The #Zika virus could complicate the launch of the Zica hatchback https://t.co/ZrNJpoBv0M via @CNNMoney https://t.co/brEpkmNFyr,"Houston, TX",,11,nov_amit,30,17,30,Thu May 13 04:29:37 +0000 2010,45,0,143317986,False,694206467964932098
2662,12,"RT @VaibhavHariom: #Zika virus infects 2100 pregnant Columbian women. The virus is spreading its arms
https://t.co/TmnxdsP25V #inshorts htt…",,,27,SuruGeeta,20,5,20,Thu Nov 28 11:54:55 +0000 2013,7,0,2219561930,False,694206465838555136
2663,5,@debbiedonothing @MSwartz62 @cafedotcom @ttommyunger 1000's of small-headed babies are being born across Brazil b/c of Zika . . . Not funny!,"Milwaukee, WI",UW-Madison '14,37,UwNoah,1,551,1,Thu Dec 31 02:45:28 +0000 2015,0,0,4660153175,False,694206458494189568
2664,1429,"RT @UniGreenwich: Zika virus and whether to eradicate #mosquitoes: Prof Gay Gibson from @NRInstitute was on @bbc5live, 1.18hrs in https://t…",,"The Natural Resources Institute of the University of Greenwich leads in agricultural and food research and consultancy, focusing on developing economies",1786,NRInstitute,890,33,890,Tue Jan 24 08:47:20 +0000 2012,1,64,472768649,False,694206456657240064
