,Column1,Column2,Column3
485,@ferasanwar24,@CNN,RT
486,@RivertownsPatch,@RivertownsPatch,Tweet
487,@SMolloyDVM,@Westxgal,RT
488,@onahunttoday,@onahunttoday,Tweet
489,@AlokKarDowerah,@JPNadda,RT
490,@NewCityPatch,@NewCityPatch,Tweet
491,@BAinDiplomacy,@BAinDiplomacy,Tweet
492,@HarrisonPatch,@HarrisonPatch,Tweet
493,@Hillamadz,@CNN,RT
494,@MandolinJoy,@MandolinJoy,Tweet
495,@THilderley,@VIralBuzzNewss,RT
496,@lisabari,@lisabari,Tweet
497,@UwNoah,@UwNoah,Tweet
498,@_Dirty_Water_,@_Dirty_Water_,Tweet
499,@Klovn,@Klovn,Tweet
500,@ViralpressNews,@ViralpressNews,Tweet
501,@ChapKiscoPatch,@ChapKiscoPatch,Tweet
502,@wyorgb,@sciam,RT
503,@WrigleyRes,@WrigleyRes,Tweet
504,@YarnitaRdz,@ClimateReality,RT
505,@NewCityPatch,@NewCityPatch,Tweet
506,@bonelam,@CNN,RT
507,@TraveleadsUK,@TraveleadsUK,Tweet
508,@OccuWorld,@OccuWorld,Tweet
509,@diboua,@CNN,RT
510,@andrader,@andrader,Tweet
511,@fractalbears,@fractalbears,Tweet
512,@PearlRiverPatch,@PearlRiverPatch,Tweet
513,@PearlRiverPatch,@PearlRiverPatch,Tweet
514,@joe2bees,@joe2bees,Tweet
515,@mepalmeiro,@ClimateReality,RT
516,@AhmedNumen,@ClimateReality,RT
517,@RainerKurlemann,@HelenBranswell,RT
518,@_Dirty_Water_,@_Dirty_Water_,Tweet
519,@PearlRiverPatch,@PearlRiverPatch,Tweet
520,@nov_amit,@CNN,RT
521,@_islamhussein,@CNN,RT
522,@nov_amit,@CNN,RT
523,@PelhamPatch,@PelhamPatch,Tweet
524,@GinaInTheBurg,@AP,RT
525,@RivertownsPatch,@RivertownsPatch,Tweet
526,@Victoria_Donlin,@CNN,RT
527,@bjongrk,@CNN,RT
528,@smith_lassen,@ClimateReality,RT
529,@SuruGeeta,@VaibhavHariom,RT
530,@njiru_john,@CNN,RT
531,@TaraDow2,@VIralBuzzNewss,RT
532,@a_den_hartog,@a_den_hartog,Tweet
533,@miepsja,@miepsja,Tweet
534,@BzSnow,@nytimes,RT
535,@updatesvisayas,@updatesvisayas,Tweet
536,@PearlRiverPatch,@PearlRiverPatch,Tweet
537,@Ing_Da,@CNN,RT
538,@PearlRiverPatch,@PearlRiverPatch,Tweet
539,@CraigCo62,@CraigCo62,Tweet
540,@_Dirty_Water_,@_Dirty_Water_,Tweet
541,@PelhamPatch,@PelhamPatch,Tweet
542,@teddavid,@teddavid,Tweet
543,@THilderley,@VIralBuzzNewss,RT
544,@iamyemiyezi,@iamyemiyezi,Tweet
545,@PearlRiverPatch,@PearlRiverPatch,Tweet
546,@wyorgb,@scicurious,RT
547,@dlNewZealand,@dlNewZealand,Tweet
548,@PierreChrist_,@CNN,RT
549,@Health_UKnews,@Health_UKnews,Tweet
550,@ConversationUK,@ConversationUK,Tweet
551,@RivertownsPatch,@RivertownsPatch,Tweet
552,@onahunttoday,@onahunttoday,Tweet
553,@PelhamPatch,@PelhamPatch,Tweet
554,@nicolewesth,@nicolewesth,Tweet
555,@fratucci,@CNN,RT
556,@MujibG,@MujibG,Tweet
557,@MN_350,@ClimateReality,RT
558,@fodido,@CNN,RT
559,@EmergencyBlog,@EmergencyBlog,Tweet
560,@racketnews,@racketnews,Tweet
561,@Klovn,@Klovn,Tweet
562,@BBCWomansHour,@bbcworldservice,RT
563,@PearlRiverPatch,@PearlRiverPatch,Tweet
564,@DrRobertGlatter,@bermaninstitute,RT
565,@CinderelaRS,@ClimateReality,RT
566,@WindsorDw,@onahunttoday,RT
567,@bjongrk,@CNN,RT
568,@PearlRiverPatch,@PearlRiverPatch,Tweet
569,@lisabari,@lisabari,Tweet
570,@PChesterPatch,@PChesterPatch,Tweet
571,@lillyvelez28,@nytimes,RT
572,@Health_UKnews,@Health_UKnews,Tweet
573,@CraigCo62,@CraigCo62,Tweet
574,@RivertownsPatch,@RivertownsPatch,Tweet
575,@nov_amit,@CNN,RT
576,@bedkatonahpatch,@bedkatonahpatch,Tweet
577,@NewRoPatch,@NewRoPatch,Tweet
578,@callmemalig,@ajplus,RT
579,@Ing_Da,@CNN,RT
580,@PChesterPatch,@PChesterPatch,Tweet
581,@YarnitaRdz,@ClimateReality,RT
582,@Simar512,@Simar512,Tweet
583,@AhmedNumen,@ClimateReality,RT
584,@bjongrk,@CNN,RT
585,@UVAResearchPark,@UVAResearchPark,Tweet
586,@NRInstitute,@UniGreenwich,RT
587,@edisonlsm,@CNN,RT
588,@lilvasheer,@lilvasheer,Tweet
589,@NewCityPatch,@NewCityPatch,Tweet
590,@wyorgb,@sciam,RT
591,@NRInstitute,@UniGreenwich,RT
592,@NewCityPatch,@NewCityPatch,Tweet
593,@ECDOH,@NSC44,RT
594,@matatias,@CNN,RT
595,@SMolloyDVM,@Westxgal,RT
596,@GinaInTheBurg,@AP,RT
597,@JFairBairnLLJ,@JFairBairnLLJ,Tweet
598,@jcrestani,@nytimes,RT
599,@RealTimeHack,@RealTimeHack,Tweet
600,@SuruGeeta,@VaibhavHariom,RT
601,@Health_UKnews,@Health_UKnews,Tweet
602,@fratucci,@CNN,RT
603,@ECDOH,@NSC44,RT
604,@nov_amit,@CNN,RT
605,@RivertownsPatch,@RivertownsPatch,Tweet
606,@onahunttoday,@onahunttoday,Tweet
607,@THilderley,@VIralBuzzNewss,RT
608,@UwNoah,@UwNoah,Tweet
609,@T_GC11,@T_GC11,Tweet
610,@bcn_exp,@BlBrTravel,RT
611,@THilderley,@VIralBuzzNewss,RT
612,@iamyemiyezi,@iamyemiyezi,Tweet
613,@ChapKiscoPatch,@ChapKiscoPatch,Tweet
614,@UNICEFC4D,@UNICEFC4D,Tweet
615,@YarnitaRdz,@ClimateReality,RT
616,@BAinDiplomacy,@BAinDiplomacy,Tweet
617,@_islamhussein,@CNN,RT
618,@NRInstitute,@UniGreenwich,RT
619,@dlNewZealand,@dlNewZealand,Tweet
